PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-280.145,259.118,1034,1500,1500,0,4.64594,152.325,2.14494,17013,2.801
-207.854,271.047,1044,1477,1500,0,3.06183,152.605,2.16787,17113,2.804
-172.242,267.454,1033,1503,1500,0,1.9246,153.029,2.17511,17213,2.804
-130.574,248.909,1019,1515,1500,0,1.09491,153.19,2.15146,17313,2.8
-69.5356,210.473,971,1514,1500,0,1.03255,152.92,2.16095,17414,2.8
-49.8698,185.176,948,1508,1500,0,1.21009,152.736,2.1528,17514,2.8
-28.2879,160.035,923,1513,1500,0,0.855249,152.496,2.14919,17614,2.8
-13.2267,135.054,898,1509,1605,0,0.340746,151.745,2.14544,17714,2.8
22.4008,88.8669,856,1509,1605,0,0.540124,150.844,2.14384,17814,2.8
37.0564,66.3068,837,1532,1605,0,0.383875,150.162,2.13355,17914,2.8
68.1929,36.6063,807,1535,1605,0,-0.0360193,149.389,2.1338,18014,2.8
81.0355,20.6992,793,1522,1605,0,-0.232901,148.374,2.12911,18114,2.791
94.1581,7.78487,778,1522,1605,0,0.0952265,147.48,2.13217,18214,2.791
123.446,-19.5989,750,1542,1605,0,0.695014,146.184,2.13204,18314,2.791
138.309,-26.9522,743,1542,1605,0,0.316787,144.782,2.1294,18414,2.787
150.427,-25.237,743,1533,1605,0,-0.441817,143.564,2.13721,18514,2.735
166.109,-20.1781,749,1532,1605,0,-0.731419,142.485,2.13554,18614,2.693
192.433,10.7954,787,1551,1605,0,-0.860198,141.946,2.14347,18714,2.688
207.782,70.2526,852,1551,1605,0,-0.570316,141.763,2.14519,18814,2.66
210.054,94.2141,886,1544,1605,0,-0.732329,141.969,2.10631,18914,2.655
214.752,125.603,922,1534,1605,0,-1.74435,142.503,2.08597,19015,2.655
233.6,170.624,956,1551,1500,0,-2.31578,143.043,2.12415,19115,2.641
246.193,192.194,982,1548,1500,0,-2.41379,143.744,2.11013,19215,2.552
