PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-116.517,335.336,1036,1480,1500,0,-0.225822,154.062,1.79625,17220,0
-115.661,341.496,1040,1477,1500,0,0.945723,156.141,1.7894,17320,0
-114.213,332.584,1035,1477,1500,0,0.945723,156.141,1.76777,17420,0
-113.619,332.447,1030,1478,1500,0,1.11117,156.646,1.77732,17520,0
-105.33,330.041,1020,1485,1500,0,0.233993,156.412,1.79562,17620,0
-98.5848,316.228,1002,1484,1500,0,-0.176981,156.292,1.81155,17720,0
-84.854,281.509,969,1484,1500,0,-0.0854315,156.185,1.79444,17820,0
-73.289,261.323,944,1484,1500,0,0.280431,156.008,1.79053,17920,0
-62.4566,237.315,923,1493,1500,0,0.280431,156.008,1.82663,18020,0
-60.378,218.923,909,1493,1500,0,0.280431,156.008,1.81305,18120,0
-51.8426,203.928,892,1486,1500,0,0.280431,156.008,1.78874,18220,0
-52.7843,202.744,886,1492,1500,0,-0.0399203,156.739,1.79306,18320,0
-49.2502,201.944,880,1492,1500,0,0.00428365,157,1.79126,18420,0
-52.92,200.533,886,1488,1500,0,0.261576,157.329,1.77503,18520,0
-54.928,238.104,912,1483,1500,0,0.261576,157.329,1.8227,18620,0
-61.2879,239.799,930,1483,1500,0,-0.70017,158.146,1.80261,18720,0
-65.1236,260.779,945,1478,1500,0,-0.981899,158.192,1.81893,18820,0
-71.2118,249.856,978,1477,1500,0,-1.6104,157.47,1.76295,18920,0
-75.6148,270.454,943,1477,1500,0,-2.12698,157.05,1.8041,19021,0
-85.8863,277.357,963,1477,1500,0,-1.79553,156.139,1.82163,19121,0
-128.367,279.328,969,1471,1500,0,-1.32206,154.92,1.81459,19221,0
-160.245,257.295,956,1437,1500,0,0.566064,153.849,1.75482,19321,0
-178.592,264.765,969,1450,1500,0,2.87084,152.995,1.79475,19421,0
-201.327,264.463,951,1449,1500,0,2.95103,152.287,1.85093,19521,0
-253.209,258.863,930,1409,1500,0,3.67183,151.621,1.89574,19621,0
-264.184,234.558,916,1442,1500,0,6.21545,150.928,1.88701,19721,0
-285.218,237.574,910,1442,1500,0,4.045,151.085,1.93915,19821,0
-317.408,217.091,890,1416,1500,0,3.88091,151.443,1.87207,19921,0
-330.563,230.126,946,1430,1500,0,3.88091,151.443,1.85734,20021,0
-337.978,224.587,940,1433,1500,0,4.64085,153.363,1.86345,20121,0
-335.117,235.344,951,1442,1500,0,4.63744,153.789,1.85525,20221,0
-331.297,236.447,952,1442,1500,0,3.66125,155.57,1.8416,20321,0
-303.007,248.728,943,1468,1500,0,3.16101,156.576,1.86479,20421,0
-280.376,238.59,947,1466,1500,0,0.753725,157.678,1.84415,20521,0
-260.811,256.57,943,1466,1500,0,0.204209,158.205,1.86265,20621,0
-252.727,261.449,966,1457,1500,0,0.0991028,158.252,1.82115,20721,0
-223.793,253.901,963,1457,1500,0,0.95562,158.926,1.76934,20822,0
-231.486,235.126,971,1447,1500,0,0.96493,160.075,1.69217,20922,0
-201.056,263.063,984,1483,1500,0,1.14881,161.11,1.76315,21022,0
-192.507,273.025,984,1483,1500,0,-0.23655,162.004,1.74924,21122,0
-189.011,277.561,1019,1462,1500,0,0.24878,162.194,1.66716,21222,0
-158.326,330.995,1025,1462,1500,0,0.459547,161.954,1.81619,21322,0
-148.578,342.726,1014,1473,1500,0,1.11708,161.296,1.78882,21422,0
-165.277,340.764,1040,1448,1500,0,0.881121,160.894,1.73594,21522,0
-138.625,358.682,1051,1448,1500,0,0.881121,160.894,1.77885,21622,0
-137.477,355.483,1064,1467,1500,0,0.881121,160.894,1.77742,21722,0
-138.809,356.236,1049,1467,1500,0,2.09554,159.18,1.77982,21822,0
-127.829,313.59,1029,1476,1500,0,0.772248,159.4,1.67316,21922,0
-90.0949,358.616,1047,1505,1500,0,0.772248,159.4,1.77995,22022,0
-75.2666,358.208,1036,1505,1500,0,-0.932902,160.36,1.78773,22122,0
-55.7613,351.932,1035,1494,1500,0,-1.00974,160.488,1.77912,22222,0
-46.7715,341.601,1040,1494,1500,0,-1.00974,160.488,1.75264,22322,0
-29.2473,352.153,1050,1496,1500,0,-1.44649,161.352,1.76369,22422,0
-25.5514,357.275,1037,1496,1500,0,-1.35878,161.404,1.78403,22522,0
-29.9816,362.171,1048,1485,1500,0,-0.584563,161.535,1.78171,22622,0
-32.0325,367.425,1059,1479,1500,0,-0.471684,161.477,1.80771,22723,0
-49.7596,375.344,1066,1479,1500,0,0.335629,161.32,1.80906,22823,0
-57.9591,387.966,1077,1470,1500,0,0.257127,161.027,1.83282,22923,0
-69.2025,381.575,1068,1466,1500,0,0.222074,160.354,1.79071,23023,0
-84.5703,375.664,1071,1466,1500,0,0.540127,159.689,1.78484,23123,0
-102.443,371.785,1073,1455,1500,0,0.540127,159.689,1.80203,23223,0
-116.803,368.362,1060,1455,1500,0,0.779861,159.06,1.8231,23323,0
-133.594,355.969,1032,1451,1500,0,0.779861,159.06,1.82339,23423,0
-146.508,339.968,1027,1452,1500,0,0.779861,159.06,1.82624,23523,0
-162.931,326.156,1029,1446,1500,0,3.56057,157.377,1.83534,23623,0
-186.749,272.78,987,1436,1500,0,4.31141,156.866,1.76746,23723,0
-192.281,263.916,980,1436,1500,0,5.25111,156.119,1.77563,23823,0
-183.817,265.057,964,1451,1500,0,4.63942,155.625,1.82463,23923,0
-192.765,249.033,979,1448,1500,0,3.45547,155.496,1.75859,24023,0
-171.008,234.637,982,1447,1500,0,3.39632,155.447,1.69512,24123,0
-153.141,232.513,973,1476,1500,0,2.78122,156.099,1.68274,24223,0
-118.44,269.953,976,1495,1500,0,1.20829,157.083,1.75034,24324,0
-99.6148,294.092,984,1495,1500,0,-0.675153,159.282,1.75237,24424,0
-32.118,302.279,982,1536,1500,0,-0.628891,160.438,1.76381,24524,0
-4.58839,311.881,1003,1536,1500,0,-0.885581,161.381,1.76217,24624,0
17.2809,323.55,1009,1505,1500,0,-0.927772,161.217,1.78489,24724,0
35.0258,332.326,1000,1504,1500,0,-0.588762,161.252,1.77812,24824,0
74.5929,329.558,1024,1504,1500,0,-0.525486,161.84,1.80147,24924,0
83.6655,327.392,1004,1504,1500,0,0.0650598,162.465,1.79052,25024,0
103.404,321.422,1004,1516,1500,0,0.0451658,162.566,1.8347,25125,0
115.198,297.867,981,1516,1500,0,-0.0369202,162.632,1.80074,25225,0
144.443,275.581,959,1531,1500,0,-1.13799,162.291,1.82587,25325,0
159.869,258.463,966,1531,1500,0,-0.882467,162.018,1.81619,25425,0
183.182,232.212,937,1532,1500,0,-0.792343,162.017,1.83199,25525,0
189.656,213.067,935,1532,1500,0,-0.63698,162.37,1.80496,25626,0
200.846,192.694,909,1519,1500,0,-0.365061,163.015,1.74218,25726,0
199.223,209.362,932,1513,1500,0,-0.225564,164.443,1.79905,25826,0
200.105,211.026,935,1514,1500,0,0.340398,166.109,1.79491,25926,0
203.487,211.333,934,1519,1500,0,0.603912,165.971,1.79677,26026,0
206.888,217.887,938,1519,1500,0,0.607459,164.824,1.82142,26126,0
214.168,214.5,936,1520,1500,0,-0.0617845,163.16,1.81399,26226,0
220.975,173.478,942,1525,1500,0,0.35656,159.178,1.66165,26326,0
230.95,224.983,935,1525,1500,0,0.491115,156.972,1.79458,26426,0
237.86,242.593,949,1529,1500,0,0.104076,153.711,1.80339,26526,0
253.687,232.694,971,1538,1500,0,0.104076,153.711,1.73757,26626,0
270.086,253.964,966,1538,1500,0,-1.50795,150.162,1.75822,26726,0
283.316,267.85,982,1541,1500,0,-1.05736,148.921,1.76913,26826,0
285.822,266.455,993,1532,1500,0,-0.769062,148.665,1.75487,26926,0
283.193,289.364,1004,1533,1500,0,-0.686375,149.016,1.73559,27027,0
310.852,349.448,1040,1558,1500,0,-1.20891,149.796,1.86666,27127,0
326.339,348.756,1039,1558,1500,0,-1.20891,149.796,1.84034,27227,0
317.634,314.332,1049,1529,1500,0,-3.19463,154.892,1.72344,27327,0
334.505,305.064,1056,1554,1500,0,-1.25724,155.639,1.70316,27427,0
332.526,319.721,1067,1538,1500,0,-2.93961,156.22,1.70998,27527,0
337.564,323.318,1069,1538,1500,0,-0.961351,155.822,1.70813,27627,0
338.298,315.375,1063,1545,1500,0,-0.876134,155.68,1.7038,27727,0
324.166,321.316,1075,1542,1500,0,-1.30192,155.582,1.70165,27827,0
315.273,322.086,1075,1530,1500,0,-1.44003,155.726,1.71357,27927,0
314.282,317.295,1055,1531,1500,0,-0.938681,155.881,1.70925,28027,0
311.818,313.637,1048,1536,1500,0,-1.67763,156.157,1.70539,28127,0
301.772,324.923,1057,1528,1500,0,-2.09451,156.217,1.72823,28227,0
295.015,306.84,1042,1530,1500,0,-1.34692,155.876,1.72658,28327,0
288.229,303.425,1020,1531,1500,0,-1.20839,155.427,1.72402,28427,0
294.882,353.722,1043,1530,1500,0,-0.345054,155.007,1.86593,28527,0
285.265,344.902,1036,1543,1500,0,-1.30227,154.699,1.84375,28627,0
260.514,335.644,1039,1511,1500,0,-1.30227,154.699,1.82206,28728,0
257.635,340.223,1037,1511,1500,0,-0.935476,153.617,1.84444,28828,0
235.934,321.77,1030,1510,1500,0,-0.237787,151.762,1.79292,28928,0
221.87,323.693,1032,1511,1500,0,-0.0423622,151.504,1.78371,29028,0
191.662,318.422,1034,1515,1500,0,0.301627,151.835,1.78284,29128,0
175.531,325.565,1042,1497,1500,0,0.760257,152.758,1.79131,29228,0
158.231,353.985,1056,1507,1500,0,0.867498,153.735,1.83655,29328,0
146.972,349.625,1055,1507,1500,0,0.167407,155.24,1.81684,29428,0
136.426,356.491,1064,1507,1500,0,0.10127,156.855,1.78047,29528,0
131.129,370.452,1063,1506,1500,0,-0.0468303,156.874,1.7918,29628,0
122.002,377.117,1061,1505,1500,0,-0.339344,155.781,1.79642,29728,0
115.021,381.969,1081,1506,1500,0,-0.543715,154.379,1.80123,29828,0
116.415,387.57,1085,1506,1500,0,-0.697663,154.173,1.80883,29928,0
115.663,388.896,1094,1514,1500,0,-0.72021,153.501,1.80357,30028,0
112.938,379.02,1065,1512,1500,0,-0.377792,153.162,1.793,30128,0
103.937,391.167,1085,1512,1500,0,-0.109141,153.063,1.82262,30228,0
87.188,376.073,1055,1504,1500,0,-0.475969,154.111,1.81,30328,0
87.5295,370.834,1059,1509,1500,0,-1.17517,155.808,1.80998,30428,0
79.7233,365.902,1048,1501,1500,0,-0.902898,157.684,1.82325,30528,0
75.1731,345.468,1044,1501,1500,0,-0.902898,157.684,1.79397,30628,0
57.4733,334.82,1017,1501,1500,0,-0.902898,157.684,1.80613,30728,0
36.6414,330.625,1016,1489,1500,0,-0.241182,159.045,1.81501,30828,0
33.1328,322.6,1005,1484,1500,0,-0.215187,159.285,1.81204,30928,0
26.006,312.263,997,1484,1500,0,-0.215187,159.285,1.82368,31028,0
8.03196,302.656,995,1494,1500,0,0.307353,159.956,1.82296,31128,0
-4.34558,295.377,988,1485,1500,0,0.936794,160.218,1.81687,31228,0
-13.7795,295.705,978,1486,1500,0,1.05314,160.486,1.803,31328,0
-20.1019,302.898,994,1488,1500,0,1.82313,160.788,1.7958,31428,0
-33.1705,307.089,1000,1488,1500,0,1.82313,160.788,1.776,31528,0
-30.149,305.103,982,1480,1500,0,0.129066,161.845,1.76531,31628,0
-21.0311,304.697,991,1494,1500,0,-0.576443,162.27,1.7761,31728,0
-13.5914,303.931,997,1494,1500,0,-0.951494,162.444,1.78377,31828,0
-10.4376,302.572,984,1500,1500,0,-1.13845,162.712,1.77696,31928,0
1.98597,317.488,999,1507,1500,0,-1.20109,163.244,1.7926,32028,0
2.85401,319.044,1010,1507,1500,0,-0.437354,164.306,1.78881,32128,0
-2.79913,325.953,1017,1497,1500,0,-0.285313,164.469,1.78486,32228,0
-11.1072,330.137,1025,1487,1500,0,-0.1641,164.564,1.79913,32329,0
-13.3594,333.008,1027,1487,1500,0,-0.34139,164.445,1.77654,32429,0
-19.5794,337.057,1027,1488,1500,0,-0.353259,164.539,1.79235,32530,0
-20.623,326.663,1023,1488,1500,0,-0.353259,164.539,1.77791,32630,0
-24.2725,329.992,1010,1492,1500,0,-0.654358,166.287,1.79814,32730,0
-26.4272,303.323,985,1490,1500,0,0.0740454,166.498,1.79641,32830,0
-29.2641,300.965,983,1490,1500,0,0.599306,167.624,1.81,32930,0
-36.5868,294.115,974,1490,1500,0,0.599306,167.624,1.81555,33030,0
-43.8284,283.109,957,1484,1500,0,-0.146837,167.961,1.80545,33130,0
-52.2001,261.273,948,1483,1500,0,0.0327399,166.896,1.80529,33230,0
-52.2222,252.971,925,1488,1500,0,0.0327399,166.896,1.8073,33330,0
-60.5842,245.046,915,1488,1500,0,0.0327399,166.896,1.80318,33430,0
-67.6362,244.449,918,1479,1500,0,0.906526,159.038,1.80452,33530,0
-80.1255,246.546,936,1473,1500,0,1.19861,157.433,1.79365,33630,0
-84.4675,261.275,931,1479,1500,0,0.765624,157.596,1.81873,33730,0
-94.056,270.25,950,1479,1500,0,0.765624,157.596,1.79773,33830,0
-94.3732,285.125,972,1473,1500,0,0.631593,159.18,1.79516,33931,0
-95.297,302.112,984,1480,1500,0,0.631593,159.18,1.79796,34031,0
-102.988,309.048,997,1473,1500,0,0.830188,161.245,1.81338,34131,0
-103.021,308.579,1003,1473,1500,0,1.26965,161.077,1.78969,34231,0
-107.8,317.407,1002,1474,1500,0,1.26965,161.077,1.79225,34331,0
-106.465,326.113,1033,1474,1500,0,1.0706,158.991,1.77907,34431,0
-107.186,338.451,1032,1478,1500,0,1.26013,158.365,1.78968,34531,0
-110.948,341.558,1044,1478,1500,0,1.26013,158.365,1.78273,34631,0
-108.13,345.42,1040,1480,1500,0,1.26013,158.365,1.79262,34731,0
-98.7799,356.605,1046,1487,1500,0,0.979069,157.874,1.78731,34831,0
-100.592,358.174,1041,1477,1500,0,1.11424,157.877,1.80191,34931,0
-93.2353,357.456,1045,1477,1500,0,0.979657,157.565,1.78668,35031,0
-64.6904,353.812,1050,1508,1500,0,0.834517,157.453,1.88065,35131,0
-82.146,356.921,1033,1508,1500,0,0.587079,158.135,1.77836,35231,0
-75.0405,364.223,1056,1489,1500,0,0.578641,158.481,1.79563,35331,0
-70.5752,355.532,1044,1487,1500,0,0.449471,160.31,1.78415,35431,0
